date,price
2024-03-01,2240.0
2024-02-29,2290.0
2024-02-28,2300.0
2024-02-27,2360.0
2024-02-26,2345.0
2024-02-23,2330.0
2024-02-22,2340.0
2024-02-21,2330.0
2024-02-20,2280.0
2024-02-19,2270.0
2024-02-16,2305.0
2024-02-15,2295.0
2024-02-14,2275.0
2024-02-13,2275.0
2024-02-12,2310.0
2024-02-09,2315.0
2024-02-08,2340.0
2024-02-07,2365.0
2024-02-06,2355.0
2024-02-05,2320.0
2024-02-02,2320.0
2024-02-01,2345.0
